Date and Time of the Detection,Detected Object
06-10-2023 21:58,person
07-10-2023 21:58,person
08-10-2023 21:58,person
09-10-2023 21:58,person
10-10-2023 21:58,person
11-10-2023 21:58,person
12-10-2023 21:58,person
13-10-2023 21:58,person
14-10-2023 21:58,person
15-10-2023 21:58,person
16-10-2023 21:58,person
17-10-2023 21:58,person
18-10-2023 21:58,person
19-10-2023 21:58,person
20-10-2023 21:58,person
21-10-2023 21:58,person
22-10-2023 21:58,person
23-10-2023 21:58,person
24-10-2023 21:58,person
25-10-2023 21:58,person
26-10-2023 21:58,person
27-10-2023 21:58,person
28-10-2023 21:58,person
29-10-2023 21:58,person
30-10-2023 21:58,person
31-10-2023 21:58,person
01-11-2023 21:58,person
02-11-2023 21:58,person
03-11-2023 21:58,person
04-11-2023 21:58,
07-10-2023 12:52,person
2023-10-09 12:24:23,person
2023-10-09 14:31:46,person
2023-10-09 14:32:15,person
2023-10-09 14:51:42,person
2023-10-09 14:52:14,person
2023-10-09 15:36:54,car
2023-10-09 15:40:44,car
2023-10-09 15:40:49,car
2023-10-09 15:40:54,car
2024-04-13 20:50:20,person
2024-04-13 20:50:25,person
2025-01-29 14:36:53,person
2025-01-29 14:36:59,person
2025-01-29 14:37:04,person
2025-01-29 14:37:09,person
2025-01-29 14:37:14,tv
2025-01-29 14:37:20,person
2025-01-29 14:37:25,person
2025-01-29 14:37:43,person
2025-01-29 14:37:48,person
2025-01-29 14:37:53,person
2025-01-29 14:42:14,bowl
2025-01-29 14:42:20,bowl
2025-01-29 14:42:25,bowl
2025-01-29 14:42:30,bowl
2025-02-17 13:45:14,horse
2025-02-17 13:45:19,person
2025-03-15 14:56:50,horse
2025-03-15 14:57:04,person
2025-03-15 14:57:55,person
2025-03-15 15:42:40,person
2025-03-15 15:42:45,person
2025-03-15 15:42:50,person
2025-03-15 15:42:55,person
2025-03-15 15:46:47,person
2025-03-15 15:46:52,person
2025-03-15 15:46:59,person
2025-03-15 15:47:04,person
2025-03-15 15:55:11,person
2025-03-15 15:56:19,car
2025-03-15 16:02:50,car
2025-03-15 16:03:50,person
2025-03-15 16:04:02,person
2025-03-15 16:08:19,Crowd Alert: 12 people detected
2025-03-15 16:09:08,person
2025-03-15 16:09:18,person
2025-03-15 16:14:08,Threshold Exceeded! 12 people detected.
2025-03-15 16:14:13,Threshold Exceeded! 13 people detected.
2025-03-15 16:14:18,Threshold Exceeded! 15 people detected.
2025-03-15 16:57:40,person
2025-03-15 16:57:41,person
2025-03-15 16:57:41,train
2025-03-15 16:57:41,person
2025-03-15 16:57:42,person
2025-03-15 16:57:42,train
2025-03-15 16:57:43,person
2025-03-15 16:57:43,person
2025-03-15 16:57:44,person
2025-03-15 16:57:44,person
2025-03-15 16:57:45,person
2025-03-15 16:57:45,person
2025-03-15 16:57:46,person
2025-03-15 16:57:46,backpack
2025-03-15 16:57:47,person
2025-03-15 16:57:48,person
2025-03-15 16:57:48,person
2025-03-15 16:57:49,train
2025-03-15 16:57:49,person
2025-03-15 16:57:49,person
2025-03-15 16:57:50,person
2025-03-15 16:57:50,person
2025-03-15 16:57:51,train
2025-03-15 16:57:51,person
2025-03-15 16:57:52,person
2025-03-15 16:57:52,person
2025-03-15 16:57:53,person
2025-03-15 16:57:53,person
2025-03-15 16:57:54,backpack
2025-03-15 16:57:54,person
2025-03-15 16:58:17,person
2025-03-15 16:58:17,person
2025-03-15 16:58:18,train
2025-03-15 16:58:18,person
2025-03-15 16:58:19,person
2025-03-15 16:58:19,person
2025-03-15 16:58:20,person
2025-03-15 16:58:20,person
2025-03-15 16:58:21,train
2025-03-15 16:58:21,person
2025-03-15 16:58:22,person
2025-03-15 16:58:22,person
2025-03-15 16:58:23,backpack
2025-03-15 16:58:23,person
2025-03-15 16:58:23,person
2025-03-15 16:58:29,person
2025-03-15 16:58:30,person
2025-03-15 16:58:30,train
2025-03-15 16:58:31,person
2025-03-15 16:58:31,person
2025-03-15 16:58:31,person
2025-03-15 16:58:32,person
2025-03-15 16:58:32,person
2025-03-15 16:58:34,train
2025-03-15 16:58:34,person
2025-03-15 16:58:35,person
2025-03-15 16:58:35,backpack
2025-03-15 16:58:35,person
2025-03-15 16:58:36,person
2025-03-15 17:11:09,person
2025-03-15 17:11:09,person
2025-03-15 17:11:10,train
2025-03-15 17:11:10,person
2025-03-15 17:11:11,person
2025-03-15 17:11:11,person
2025-03-15 17:11:12,person
2025-03-15 17:11:12,train
2025-03-15 17:11:13,person
2025-03-15 17:11:13,person
2025-03-15 17:11:13,person
2025-03-15 17:11:14,person
2025-03-15 17:11:14,person
2025-03-15 17:11:15,backpack
2025-03-15 17:11:15,person
2025-03-15 17:11:18,person
2025-03-15 17:11:18,person
2025-03-15 17:11:19,train
2025-03-15 17:11:19,person
2025-03-15 17:11:19,person
2025-03-15 17:11:20,person
2025-03-15 17:11:20,person
2025-03-15 17:11:21,person
2025-03-15 17:11:21,train
2025-03-15 17:11:22,person
2025-03-15 17:11:23,person
2025-03-15 17:11:23,person
2025-03-15 17:11:24,backpack
2025-03-15 17:11:24,person
2025-03-15 17:11:26,person
2025-03-15 17:11:26,person
2025-03-15 17:11:28,person
2025-03-15 17:11:30,person
2025-03-15 17:11:30,train
2025-03-15 17:11:30,person
2025-03-15 17:11:31,person
2025-03-15 17:11:31,person
2025-03-15 17:11:32,person
2025-03-15 17:11:32,train
2025-03-15 17:11:33,person
2025-03-15 17:11:33,person
2025-03-15 17:11:34,person
2025-03-15 17:11:34,person
2025-03-15 17:11:35,person
2025-03-15 17:11:35,backpack
2025-03-15 17:11:36,person
2025-03-15 17:12:00,person
2025-03-15 17:12:01,person
2025-03-15 17:12:01,train
2025-03-15 17:12:02,person
2025-03-15 17:12:02,person
2025-03-15 17:12:03,person
2025-03-15 17:12:03,person
2025-03-15 17:12:04,person
2025-03-15 17:12:04,train
2025-03-15 17:12:05,person
2025-03-15 17:12:05,person
2025-03-15 17:12:05,person
2025-03-15 17:12:06,person
2025-03-15 17:12:06,backpack
2025-03-15 17:12:07,person
2025-03-15 17:12:09,person
2025-03-15 17:12:09,person
2025-03-15 17:12:10,train
2025-03-15 17:12:11,person
2025-03-15 17:12:11,person
2025-03-15 17:12:12,person
2025-03-15 17:12:12,person
2025-03-15 17:12:13,train
2025-03-15 17:12:13,person
2025-03-15 17:12:14,person
2025-03-15 17:12:14,person
2025-03-15 17:12:15,person
2025-03-15 17:12:15,backpack
2025-03-15 17:12:17,person
2025-03-15 17:12:18,person
2025-03-15 17:12:18,person
2025-03-15 17:12:18,train
2025-03-15 17:12:20,person
2025-03-15 17:12:20,person
2025-03-15 17:12:21,person
2025-03-15 17:12:21,person
2025-03-15 17:12:22,person
2025-03-15 17:12:22,train
2025-03-15 17:12:22,person
2025-03-15 17:12:23,person
2025-03-15 17:12:23,backpack
2025-03-15 17:12:24,person
2025-03-15 17:12:24,person
2025-03-15 17:31:48,person
2025-03-15 17:31:49,person
2025-03-15 17:31:49,train
2025-03-15 17:31:50,person
2025-03-15 17:31:50,person
2025-03-15 17:31:51,person
2025-03-15 17:31:51,person
2025-03-15 17:31:51,train
2025-03-15 17:31:52,person
2025-03-15 17:31:52,person
2025-03-15 17:31:53,person
2025-03-15 17:31:53,person
2025-03-15 17:31:54,backpack
2025-03-15 17:31:54,person
2025-03-15 17:31:56,person
2025-03-15 17:31:56,person
2025-03-15 17:31:56,train
2025-03-15 17:31:57,person
2025-03-15 17:31:57,person
2025-03-15 17:31:58,person
2025-03-15 17:31:59,person
2025-03-15 17:31:59,train
2025-03-15 17:32:00,person
2025-03-15 17:32:00,person
2025-03-15 17:32:01,person
2025-03-15 17:32:01,person
2025-03-15 17:32:01,backpack
2025-03-15 17:32:02,person
2025-03-15 17:32:27,person
2025-03-15 17:32:27,person
2025-03-15 17:32:28,person
2025-03-15 17:32:29,person
2025-03-15 17:32:30,person
2025-03-15 17:32:30,person
2025-03-15 17:32:31,person
2025-03-15 17:32:32,person
2025-03-15 17:32:32,person
2025-03-15 17:32:33,person
2025-03-15 17:32:34,person
2025-03-15 17:32:34,person
2025-03-15 17:32:35,person
2025-03-15 17:32:35,person
2025-03-15 17:32:36,person
2025-03-15 17:32:36,person
2025-03-15 17:32:36,person
2025-03-15 17:32:37,person
2025-03-15 17:32:37,person
2025-03-15 17:33:39,person
2025-03-15 17:33:44,person
2025-03-15 17:47:53,person
2025-03-15 17:48:07,person
2025-03-15 17:49:19,person
2025-03-15 17:56:25,person
2025-03-15 17:56:54,backpack
2025-03-15 17:57:33,person
2025-03-15 17:57:48,backpack
2025-03-15 17:58:00,backpack
2025-03-15 17:58:20,person
2025-03-15 17:59:01,person
2025-03-15 17:59:09,person
2025-03-15 17:59:20,person
2025-03-15 17:59:25,person
2025-03-15 18:00:10,person
2025-03-15 18:00:21,person
2025-03-15 18:10:02,person
2025-03-15 18:10:07,person
2025-03-15 18:10:13,person
2025-03-15 18:10:18,person
2025-03-15 18:10:24,person
2025-03-15 18:10:29,person
2025-03-15 18:10:35,person
2025-03-15 18:10:40,person
2025-03-15 18:10:45,person
2025-03-15 18:13:01,person
2025-03-15 18:13:07,person
2025-03-15 18:13:19,person
2025-03-15 18:13:24,person
2025-03-15 18:13:29,person
2025-03-15 18:13:35,person
2025-03-15 18:13:56,person
2025-03-15 18:14:10,person
2025-03-15 18:14:42,person
2025-03-15 18:49:32,person
2025-03-15 18:49:41,person
2025-03-15 18:49:48,person
2025-03-15 19:38:10,person,0.8640,"227,234,295,383"
2025-03-15 19:38:55,person,0.8640,"227,234,295,383"
2025-03-15 19:39:00,person,0.8647,"229,232,296,383"
2025-03-15 19:39:05,person,0.8566,"229,232,297,383"
2025-03-15 19:39:11,person,0.8650,"229,232,296,383"
2025-03-15 19:39:16,person,0.8640,"229,232,296,383"
2025-03-15 19:39:21,person,0.8748,"277,214,385,448"
2025-03-15 19:39:26,person,0.8722,"229,232,297,383"
2025-03-18 11:31:56,person
2025-03-18 11:32:01,person
2025-03-18 11:32:19,person
2025-03-18 11:32:24,person
2025-03-18 11:55:05,person
2025-03-18 11:55:37,person
2025-03-18 11:55:42,person
2025-03-18 11:55:50,person
2025-03-18 11:55:55,person
2025-03-18 11:56:00,person
2025-03-18 11:56:05,person
2025-03-18 11:56:10,person
2025-03-18 11:56:15,person
2025-03-18 12:17:31,person
2025-03-18 12:18:03,person
2025-03-18 12:20:51,person
2025-04-02 12:17:49,person,0.8366,"392,309,508,514"
2025-04-02 12:17:54,person,0.8353,"395,309,510,513"
2025-04-02 12:18:11,person,0.8366,"392,309,508,514"
2025-04-02 12:18:29,person,0.8387,"394,309,510,513"
2025-04-02 12:18:34,train,0.8464,"2,102,669,563"
2025-04-02 12:19:11,person,0.8366,"392,309,508,514"
2025-04-02 12:19:26,person,0.8545,"396,309,510,513"
2025-04-02 12:19:37,person,0.8389,"395,309,510,513"
2025-04-02 12:19:42,person,0.8540,"215,299,369,554"
2025-04-02 12:19:47,person,0.8454,"397,308,512,513"
2025-04-02 14:20:50,surfboard,0.6173,"514,199,885,575"
2025-04-02 14:21:00,person,0.9265,"737,0,1897,662"
2025-04-02 14:21:11,person,0.8252,"878,0,1895,660"
2025-04-02 14:21:16,person,0.8955,"718,0,1896,660"
2025-04-02 14:23:35,person,0.8252,"878,0,1895,660"
2025-04-02 14:23:40,person,0.8955,"718,0,1896,660"
2025-04-02 14:23:46,person,0.8252,"878,0,1895,660"
2025-04-02 14:23:51,person,0.8955,"718,0,1896,660"
2025-04-02 14:25:41,person,0.8252,"878,0,1895,660"
2025-04-02 14:25:46,person,0.8692,"708,0,1897,663"
2025-04-02 15:06:10,person,0.8530,"445,237,647,521"
2025-04-02 15:06:15,person,0.8632,"527,230,727,516"
2025-04-02 15:06:22,person,0.8912,"1012,280,1186,507"
2025-04-02 15:06:29,bird,0.7187,"277,183,1897,557"
2025-04-02 15:06:34,airplane,0.6987,"452,150,1900,531"
2025-04-02 15:06:39,bird,0.6250,"216,195,1889,557"
2025-04-02 15:06:44,bird,0.7689,"339,172,1897,558"
2025-04-02 15:06:50,bird,0.7922,"491,177,1895,529"
2025-04-02 15:06:55,bird,0.7514,"221,161,1894,512"
2025-04-02 16:56:26,person
2025-04-02 16:56:31,person
2025-04-02 16:57:05,person
2025-04-02 17:12:10,bird,0.7187,"277,183,1897,557"
2025-04-02 17:12:19,person,0.8851,"589,226,807,588"
2025-04-02 17:12:24,person,0.8784,"213,234,415,637"
2025-04-02 18:10:08,person,0.8851,"589,226,807,588"
2025-04-02 18:11:19,person,0.8831,"122,222,361,631"
2025-04-02 18:11:24,person,0.8306,"280,231,432,641"
2025-04-02 18:11:35,person,0.8214,"522,277,639,529"
2025-04-02 18:16:55,person,0.8851,"589,226,807,588"
2025-04-24 21:39:38,bird,0.7187,"277,183,1897,557"
2025-04-24 21:39:43,airplane,0.5783,"406,141,1895,491"
2025-04-24 21:39:48,bird,0.6793,"419,192,1898,532"
2025-04-24 21:39:53,bird,0.6989,"455,173,1895,578"
2025-04-24 21:40:05,train,0.8932,"1,63,986,651"
2025-04-24 21:40:10,person,0.7771,"152,309,237,421"
2025-04-24 21:40:15,person,0.7573,"355,323,389,404"
2025-04-24 21:40:32,train,0.8932,"1,63,986,651"
2025-04-24 21:40:41,train,0.8617,"482,250,966,446"
2025-04-24 21:40:46,person,0.8203,"20,310,122,444"
2025-04-24 21:40:51,person,0.7089,"141,324,213,422"
2025-04-24 21:40:56,person,0.8736,"1497,298,1770,647"
2025-04-24 21:41:05,train,0.8932,"1,63,986,651"
2025-04-24 21:41:12,person,0.7047,"258,307,325,405"
2025-04-24 21:41:17,person,0.6889,"89,325,147,425"
2025-04-24 21:41:22,person,0.6688,"168,323,226,429"
2025-04-24 21:41:28,person,0.6986,"111,329,207,449"
2025-04-26 10:13:57,train,0.8932,"1,63,986,651"
2025-04-26 10:14:03,train,0.9059,"0,190,982,575"
